"codigo";"numero";"fecha";"catastro";"ubicacion";"calle";"forma_de_ocupacion";"b1";"b2";"b3";"b4";"b5";"n_pisos";"sub";"estado_calzada";"estado_acera";"estado_bordillo";"estado_parterre";"estado_vispeatonal";"aapp";"aass";"aall";"energia";"alumbradoPub";"telefonoFijo";"internet";"tvCable";"transportePub";"recoleccionBas";"barridoCalles";"fotografia";"forma_de_ocupacion";"plantaBaja";"primerPiso";"segundoPiso";"tercerPso";"cuartoPiso";"quintoPiso";"sextoPiso";"septimoPiso";"estado_edificacion";"relevoNombres";"relevoFecha";"revisoNombres";"revisoFecha";"revisoFirma";"aproboNombres";"aproboFecha";"aproboFirma";"sello"
"29";;"2020-02-20";"1808020203013055_";"29 DE JULIO";"NARVáEZ";"/pareada";"1";"1";;;;NULL;;"regular";"malo";"regular";"**inexistente**";"**inexistente**";"SI";"SI";"NO";"SI";"SI";"SI";"SI";"SI";"NO";"SI";"NO";"1808020203013055_1582228264.";"vivienda";"VIVIENDA Y HUERTO FRUTAL";;;;;;;;"**inexistente**";"LENIN SANTIAGO MOYA ÁLVAREZ";"2020-02-19";;"0000-00-00";;;"0000-00-00";;
"30";;"2020-02-20";"1808020203025024_";"EL CHOFER";"CALLE SIN NOMBRE";;;;;;;NULL;;"malo";"malo";"malo";"**inexistente**";"**inexistente**";"SI";"NO";"NO";"SI";"SI";"SI";"SI";"SI";"NO";"NO";"NO";"1808020203025024_1582228359.";"/LOTE VACIO";;;;;;;;;"**inexistente**";"SANDRA QUISHPE";"2020-02-19";;"0000-00-00";;;"0000-00-00";;
"31";;"2020-02-20";"1808020203015015_";"29 DE JULIO";"NARVáEZ";"aislada";"2";;;;;"2";;"bueno";"malo";"malo";"**inexistente**";"**inexistente**";"SI";"SI";"NO";"SI";"SI";"SI";"SI";"SI";"NO";"SI";"NO";"1808020203015015_1582228368.";"vivienda";"VIVIENDA";"VIVIENDA";;;;;;;"**inexistente**";"LENIN SANTIAGO MOYA ÁLVAREZ";"2020-02-19";;"0000-00-00";;;"0000-00-00";;
"32";;"2020-02-20";"1808020203015016_";"29 DE JULIO";"NARVáEZ";"/pareada";"3";;;;;"3";;"bueno";"malo";"malo";"**inexistente**";"**inexistente**";"SI";"SI";"NO";"SI";"SI";"SI";"SI";"SI";"NO";"SI";"NO";"1808020203015016_1582228457.";"vivienda";"VIVIENDA";"VIVIENDA";"VIVIENDA";;;;;;"**inexistente**";"LENIN SANTIAGO MOYA ÁLVAREZ";"2020-02-19";;"0000-00-00";;;"0000-00-00";;
"2275";;"2020-02-27";"1808020201017007_";"SAN LUIS";"GARCíA MORENO Y TERáN";"/continualf";"3";;;;;"3";;"bueno";"bueno";"bueno";"**inexistente**";"**inexistente**";"SI";"SI";"NO";"SI";"SI";"SI";"SI";"SI";"NO";"SI";"NO";"1808020201017007_1582847187.";"vivienda/comercio";"FERRETERíA DANNY";"VIVIENDA";"VIVIENDA";;;;;;"**inexistente**";"LENIN SANTIAGO MOYA ÁLVAREZ";"2020-02-27";NULL;NULL;;NULL;NULL;;
"34";;"2020-02-20";"1808020203013054_";"29 DE JULIO";"NARVáEZ";"/continua";"3";;;;;"3";;"bueno";"malo";"bueno";"**inexistente**";"**inexistente**";"SI";"SI";"NO";"SI";"SI";"SI";"SI";"SI";"NO";"SI";"NO";"1808020203013054_1582228597.";"vivienda";"VIVIENDA";"VIVIENDA";"VIVIENDA";;;;;;"**inexistente**";"LENIN SANTIAGO MOYA ÁLVAREZ";"2020-02-19";;"0000-00-00";;;"0000-00-00";;
"35";;"2020-02-20";"1808020203025025_";"EL CHOFER";"CALLE SIN NOMBRE";"/pareada";"2";;;;;"2";;"malo";"malo";"malo";"**inexistente**";"**inexistente**";"SI";"NO";"NO";"SI";"SI";"SI";"SI";"SI";"NO";"NO";"NO";"1808020203025025_1582228657.";"vivienda";"VIVIENDA";"VIVIENDA";;;;;;;"**inexistente**";"SANDRA QUISHPE";"2020-02-19";;"0000-00-00";;;"0000-00-00";;
"36";;"2020-02-20";"1808020103008074_";"LAS ORQUíDEAS";"FUNDADORES DEL CANTóN";;;;;;;NULL;;"bueno";"bueno";"bueno";"**inexistente**";"**inexistente**";"SI";"NO";"NO";"SI";"SI";"SI";"SI";"SI";"SI";"SI";"NO";"1808_1582228658.";"/LOTE VACíO";;;;;;;;;"**inexistente**";"JENNY ESPARZA";"2020-02-19";;"0000-00-00";;;"0000-00-00";;
"37";;"2020-02-20";"1808020203013053_";"29 DE JULIO";"NARVáEZ";"/continua";"1";;;;;"1";;"bueno";"malo";"bueno";"**inexistente**";"**inexistente**";"SI";"SI";"NO";"SI";"SI";"SI";"SI";"SI";"NO";"SI";"NO";"1808020203013053_1582228668.";"vivienda";"VIVIENDA";;;;;;;;"**inexistente**";"LENIN SANTIAGO MOYA ÁLVAREZ";"2020-02-19";;"0000-00-00";;;"0000-00-00";;
"38";;"2020-02-20";"1808020203015017_";"29 DE JULIO";"NARVáEZ";"/pareada";"1";;;;;"1";;"bueno";"malo";"bueno";"**inexistente**";"**inexistente**";"SI";"SI";"NO";"SI";"SI";"SI";"SI";"SI";"NO";"SI";"NO";"1808020203015017_1582228737.";"vivienda";"VIVIENDA";;;;;;;;"**inexistente**";"LENIN SANTIAGO MOYA ÁLVAREZ";"2020-02-19";;"0000-00-00";;;"0000-00-00";;
"39";;"2020-02-20";"1808020203025026_";"EL CHOFER";"CALLE SIN NOMBRE";;;;;;;NULL;;"malo";"malo";"malo";"**inexistente**";"**inexistente**";"SI";"NO";"NO";"SI";"SI";"SI";"SI";"SI";"NO";"NO";"NO";"1808020203025026_1582228742.";"/LOTE VACIO";;;;;;;;;"**inexistente**";"SANDRA QUISHPE";"2020-02-19";;"0000-00-00";;;"0000-00-00";;
"40";;"2020-02-20";"1808020203013052_";"29 DE JULIO";"NARVáEZ";"/pareada";"2";;;;;"2";;"bueno";"malo";"bueno";"**inexistente**";"**inexistente**";"SI";"SI";"NO";"SI";"SI";"SI";"SI";"SI";"NO";"SI";"NO";"1808020203013052_1582228809.";"vivienda";"VIVIENDA";;;;;;;;"**inexistente**";"LENIN SANTIAGO MOYA ÁLVAREZ";"2020-02-19";;"0000-00-00";;;"0000-00-00";;
"41";;"2020-02-20";"1808020103008114_";"LAS ORQUíDEAS";"FUNDADORES DEL CANTóN";"/continualf";;;;;;NULL;;"bueno";"bueno";"bueno";"**inexistente**";"**inexistente**";"SI";"NO";"NO";"SI";"SI";"SI";"SI";"SI";"SI";"SI";"NO";"1808020103008114_1582228856.";"/LOTE VACíO";;;;;;;;;"**inexistente**";"JENNY ESPARZA";"2020-02-19";;"0000-00-00";;;"0000-00-00";;
"42";;"2020-02-20";"1808020203013051_";"29 DE JULIO";"NARVáEZ";"/pareada";"2";;;;;"2";;"bueno";"malo";"bueno";"**inexistente**";"**inexistente**";"SI";"SI";"NO";"SI";"SI";"SI";"SI";"SI";"NO";"SI";"NO";"1808020203013051_1582228876.";"vivienda";"VIVIENDA";"VIVIENDA";;;;;;;"**inexistente**";"LENIN SANTIAGO MOYA ÁLVAREZ";"2020-02-19";;"0000-00-00";;;"0000-00-00";;
"43";;"2020-02-20";"1808020203013049_";"29 DE JULIO";"NARVáEZ";"/pareada";"2";;;;;"2";;"bueno";"malo";"bueno";"**inexistente**";"**inexistente**";"SI";"SI";"NO";"SI";"SI";"SI";"SI";"SI";"NO";"SI";"NO";"1808020203013049_1582228992.";"vivienda";"VIVIENDA";"VIVIENDA";;;;;;;"**inexistente**";"LENIN SANTIAGO MOYA";"2020-02-19";;"0000-00-00";;;"0000-00-00";;
"44";;"2020-02-20";"1808020203025027_";"EL CHOFER";"AV RUMIñAHUI / CALLE SIN NOMBRE";"aislada";"2";;;;;"2";;"bueno";"bueno";"bueno";"**inexistente**";"**inexistente**";"SI";"NO";"NO";"SI";"SI";"SI";"SI";"SI";"NO";"NO";"NO";"1808020203025027_1582229018.";"vivienda";"VIVIENDA";"VIVIENDA";;;;;;;"**inexistente**";"SANDRA QUISHPE";"2020-02-19";;"0000-00-00";;;"0000-00-00";;
"45";;"2020-02-20";"1808020203013048_";"29 DE JULIO";"NARVáEZ";"/pareada";"2";;;;;"2";;"regular";"malo";"bueno";"**inexistente**";"**inexistente**";"SI";"SI";"NO";"SI";"SI";"SI";"SI";"SI";"NO";"SI";"NO";"1808020203013048_1582229066.";"vivienda";"VIVIENDA";"VIVIENDA";;;;;;;"**inexistente**";"LENIN SANTIAGO MOYA ÁLVAREZ";"2020-02-19";;"0000-00-00";;;"0000-00-00";;
"46";;"2020-02-20";"1808020203013050_";"29 DE JULIO";"NARVáEZ";;;;;;;NULL;;"bueno";"malo";"bueno";"**inexistente**";"**inexistente**";"SI";"SI";"NO";"SI";"SI";"SI";"SI";"SI";"NO";"SI";"NO";"1808020203013050_1582229173.";"/SIN ACCESO";;;;;;;;;"**inexistente**";"LENIN SANTIAGO MOYA ÁLVAREZ";"2020-02-19";;"0000-00-00";;;"0000-00-00";;
"47";;"2020-02-20";"1808020203015018_";"29 DE JULIO";"NARVáEZ";;;;;;;NULL;;"bueno";"malo";"malo";"**inexistente**";"**inexistente**";"SI";"SI";"NO";"SI";"SI";"SI";"SI";"SI";"NO";"SI";"NO";"1808020203015018_1582229237.";"/LOTE VACíO";;;;;;;;;"**inexistente**";"LENIN SANTIAGO MOYA ÁLVAREZ";"2020-02-19";;"0000-00-00";;;"0000-00-00";;
"48";;"2020-02-20";"1808020103013003_";"LAS ORQUíDEAS";"CALLE 2";;;;;;;NULL;;"bueno";"malo";"regular";"**inexistente**";"**inexistente**";"SI";"NO";"NO";"SI";"SI";"SI";"SI";"SI";"NO";"NO";"NO";"1808020103013003_1582229337.";"/LOTE VACíO";;;;;;;;;"**inexistente**";"JENNY ESPARZA";"2020-02-19";;"0000-00-00";;;"0000-00-00";;
"49";;"2020-02-20";"1808020203015019_";"29 DE JULIO";"NARVáEZ";;;;;;;NULL;;"bueno";"malo";"malo";"**inexistente**";"**inexistente**";"SI";"SI";"NO";"SI";"SI";"SI";"SI";"SI";"NO";"SI";"NO";"1808020203015019_1582229341.";"/LOTE VACíO";;;;;;;;;"**inexistente**";"LENIN SANTIAGO MOYA ÁLVAREZ";"2020-02-19";;"0000-00-00";;;"0000-00-00";;
"50";;"2020-02-20";"1808020203025001_";"EL CHóFER";"CALLE SIN NOMBRE";;;;;;;NULL;;"bueno";"bueno";"bueno";"**inexistente**";"**inexistente**";"SI";"NO";"NO";"SI";"SI";"SI";"SI";"SI";"NO";"NO";"NO";"1808020203025001_1582229368.";"/LOTE VACíO";;;;;;;;;"**inexistente**";"SANDRA QUISHPE";"2020-02-19";;"0000-00-00";;;"0000-00-00";;
"51";;"2020-02-20";"1808020203015020_";"29 DE JULIO";"NARVáEZ Y CALLE N";;;;;;;NULL;;"bueno";"malo";"malo";"**inexistente**";"**inexistente**";"SI";"SI";"NO";"SI";"SI";"SI";"SI";"SI";"NO";"SI";"NO";"1808020203015020_1582229430.";"/LOTE VACíO";;;;;;;;;"**inexistente**";"LENIN SANTIAGO MOYA ÁLVAREZ";"2020-02-19";;"0000-00-00";;;"0000-00-00";;
"52";;"2020-02-20";"1808020203025002_";"EL CHOFER";"CALLE SIN NOMBRE";;;;;;;NULL;;"bueno";"bueno";"bueno";"**inexistente**";"**inexistente**";"SI";"NO";"NO";"SI";"SI";"SI";"SI";"SI";"NO";"NO";"NO";"1808020203025002_1582229492.";"/LOTE VACIO";;;;;;;;;"**inexistente**";"SANDRA QUISHPE";"2020-02-19";;"0000-00-00";;;"0000-00-00";;
"53";;"2020-02-20";"1808020203015021_";"29 DE JULIO";"CALLE N";;;;;;;NULL;;"malo";"malo";"**inexistente**";"**inexistente**";"**inexistente**";"SI";"SI";"NO";"SI";"SI";"SI";"SI";"SI";"NO";"SI";"NO";"1808020203015021_1582229529.";"/SIN ACCESO";;;;;;;;;"**inexistente**";"LENIN SANTIAGO MOYA ÁLVAREZ";"2020-02-19";;"0000-00-00";;;"0000-00-00";;
